Scotland Raindays>=1.0mm
Areal series, starting from 1961
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 02/01/2020.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
2002   19.3   23.1   16.0   13.0   17.4   19.8   17.6   12.1    7.8   18.5   19.8   12.2    57.2   46.4   49.6   46.2   196.8
2003   18.6    8.9   10.8    9.2   20.3   13.4   14.1    8.6   14.0   12.8   18.5   16.7    39.8   40.3   36.1   45.4   165.9
2004   23.1   13.0   14.2   17.6   11.0   18.2   13.2   16.2   18.2   20.3   18.3   20.3    52.7   42.8   47.6   56.8   203.5
2005   20.8   15.7   15.0   14.7   16.9   13.3    8.8   16.3   15.9   16.9   17.5   15.1    56.7   46.6   38.4   50.3   186.9
2006   12.3   11.5   18.3   16.0   17.7    9.7   10.3   14.2   16.0   20.4   21.0   18.4    38.9   52.0   34.2   57.5   185.9
2007   23.1   16.6   15.3    8.1   17.3   13.2   17.5   15.5   13.7   11.7   19.5   16.2    58.1   40.7   46.2   44.9   187.7
2008   24.8   15.0   21.4   16.5    5.6   15.5   14.1   18.5   14.6   22.0   17.8   15.1    55.9   43.5   48.1   54.3   200.8
2009   17.9   14.5   18.1   12.1   17.0   10.8   19.2   20.8   13.2   18.7   22.0   16.2    47.4   47.2   50.9   53.9   200.5
2010   14.9   12.6   14.0   13.1   11.5    7.6   19.5   15.1   16.1   16.2   18.6   12.0    43.6   38.6   42.3   50.8   171.2
2011   16.3   19.2   13.9    9.6   21.2   15.2   11.3   17.5   20.9   22.0   16.0   25.1    47.5   44.7   43.9   58.9   208.1
2012   18.4   14.2    9.1   18.1   11.4   14.9   16.7   16.9   18.4   16.6   19.6   20.9    57.7   38.5   48.6   54.6   195.2
2013   17.8   11.0   10.6   15.1   14.9   10.0   11.1   14.9   13.4   20.1   17.1   24.0    49.7   40.6   36.0   50.6   179.9
2014   23.2   22.3   16.4   14.1   15.9   11.6   13.2   19.2    7.8   20.9   16.7   21.6    69.4   46.4   44.0   45.4   202.9
2015   22.9   14.1   18.1   12.4   18.9   14.3   20.6   16.4    8.6   12.1   22.6   25.7    58.6   49.4   51.3   43.4   206.8
2016   23.3   17.3   14.1   16.6    9.6   14.0   19.4   14.3   17.6   10.4   14.6   16.9    66.4   40.2   47.7   42.6   188.2
2017   14.9   16.4   17.6   12.1   10.0   18.0   17.0   19.4   18.5   21.7   20.5   18.8    48.3   39.7   54.4   60.8   205.0
2018   18.3   13.9   13.9   14.4    8.7    8.3   10.8   17.2   19.5   17.4   18.2   15.8    51.0   37.0   36.3   55.1   176.4
2019   14.4   13.4   19.8    8.4   14.3   15.6   15.6   20.9   18.3   17.2   15.4   20.3    43.7   42.5   52.1   50.9   193.7
